duration_s,flow_count,total_packets,total_bytes,avg_pkt_size,pkt_rate,byte_rate,syn_count,ack_count,fin_count,rst_count,syn_pct,rst_pct,syn_ack_ratio,distinct_dst_ports,distinct_dst_ips,distinct_src_ips,avg_flow_duration_s,avg_flow_packets,auth_port_pct,tcp_pct,icmp_pct,label
47.821,104096.0,251939.0,50768640.0,201.51163575309897,5268.375818155204,1061639.0288785263,69489.0,54211.0,4775.0,0.0,0.27581676516934656,0.0,1.2818247219199055,2.0,1.0,1.0,0.7531,2.42,0.0,0.9214571781264512,0.0,DOS_DDOS
19.661,116627.0,155136.0,8570222.0,55.24328331270627,7890.544733228217,435899.5981893088,108239.0,17638.0,0.0,1786.0,0.6977039500825083,0.011512479372937293,6.136693502664701,1.0,1.0,1.0,0.0078,1.33,0.0,1.0,0.0,SYN_FLOOD
28.034,228216.0,250381.0,19253438.0,76.89656164006055,8931.333380894628,686788.8278518942,208975.0,39684.0,0.0,16719.0,0.8346280268870242,0.0667742360642381,5.265976212075396,3.0,1.0,1.0,0.0075,1.1,0.0,1.0,0.0,SYN_FLOOD
32.968,3822.0,304469.0,398803446.0,1309.8326791890142,9235.288764862897,12096683.025964571,78237.0,48282.0,9839.0,0.0,0.25696212093842064,0.0,1.6204175469118927,4.0,1.0,1.0,1.516,79.66,0.0,0.994551169412978,0.0,DOS_DDOS
28.165,10.0,9883.0,3812131.0,385.7260953151877,350.8965027516421,135349.93786614592,19.0,8689.0,12.0,0.0,0.0019224931700900535,0.0,0.002186672804695592,4.0,1.0,2.0,2.4827,988.3,0.1,0.8581402408175656,0.017605990083982597,BENIGN
261.191,3.0,17.0,1037.0,61.0,0.06508646928875804,3.9702746266142404,3.0,8.0,3.0,0.0,0.17647058823529413,0.0,0.375,3.0,1.0,1.0,208.9524,5.67,0.0,1.0,0.0,ANOMALY
24.207,521075.0,643562.0,48728255.0,75.71648885422073,26585.780972445988,2012981.98868096,410169.0,174867.0,0.0,44836.0,0.6373418567286446,0.06966850124774303,2.3456055173360326,3.0,1.0,1.0,0.0024,1.24,0.0,1.0,0.0,SYN_FLOOD
34.86,6116.0,269228.0,189019094.0,702.0781419466028,7723.121055651176,5422234.480780264,28718.0,61087.0,4154.0,41594.0,0.1066679542989585,0.1544935890769162,0.4701163913762339,2.0,1.0,1.0,2.0673,44.02,0.0,0.9386467975099172,0.0,DOS_DDOS
4.419,3.0,2117.0,1109333.0,524.0118091639112,479.0676623670514,251037.11246888438,6.0,1765.0,3.0,0.0,0.002834199338686821,0.0,0.0033994334277620396,3.0,3.0,2.0,0.759,705.67,0.0,0.9792158715162966,0.01606046291922532,BENIGN
118.181,2.0,8.0,387.0,48.375,0.0676927763346054,3.274638055186536,2.0,4.0,2.0,0.0,0.25,0.0,0.5,2.0,1.0,1.0,94.545,4.0,0.0,1.0,0.0,ANOMALY
